"PPS name"	"PV"	"terminal srv"	"port"	"desc"
"BSOLNW03"	"BSOC:GUNB:03:COM"	"TS-LI00-NW05"	2003
"BSOLNW04n"	"BSOC:GUNB:04n:COM"	"TS-LI00-NW05"	2004	"Outside InjW Chicane"
"BSOLNW05"	"BSOC:LI02:05:COM"	"TS-LI02-NW02"	2002	"P02-08  *"
"BSOLNW07"	"BSOC:LI04:07:COM"	"TS-LI04-NW02"	2001	"P04-05"
"BSOLNW14N"	"BSOC:LI04:14N:COM"	"TS-LI04-NW02"	2002	"P04-05"
"BSOLNW06"	"BSOC:LI04:06:COM"	"TS-LI04-NW02"	2003	"P04-07  *"
"BSOLNW08"	"BSOC:LI05:08:COM"	"TS-LI04-NW02"	2004	"P04-14"
"BSOLNW15n"	"BSOC:LI05:15N:COM"	"ts-li04-nw02"	2005	"P04-14"
"BSOLNW09"	"BSOC:LI07:09:COM"	"ts-li07-nw02"	2001	"P07-01  *"
"BSOLNW10"	"BSOC:LI07:10:COM"	"ts-li07-nw02"	2003	"P07-13"
"BSOLNW11n"	"BSOC:LI07:11N:COM"	"ts-li07-nw02"	2004	"P07-13"
"BSOLNW12"	"BSOC:LI10:12:COM"	"ts-li10-nw02"	2004	"S10-ADIT"
"BSOLNM03"	"BSOC:IN10:03:COM"	"ts-li10-nw02"	2005	"S10-VAULT"
"BSOLNE04"	"BSOC:SPH:04:COM"	"ts-li29-nw06"	2007	"P28-11"
"BSOLNE05n"	"BSOC:SPH:05N:COM"	"ts-li29-nw06"	2008	"P28-11"
"BSOLNE06"	"BSOC:SPS:06:COM"	"ts-li29-nw06"	2010	"P29-08"
"BSOBSY01"	"BSOC:BSY0:01:COM"	"ts-b136-nw06"	2009	"In B136 north of penetration 3, near the floor."
"BSOBSY02n"	"BSOC:BSY0:02N:COM"	"ts-b136-nw06"	2010	"In B136 north of penetration 3, with probe near the floor"
"BSOBTW06"	"BSOC:BSY0:06:COM"	"ts-b911-nw07"	2001	"B913"
"BSOBTH09"	"BSOC:LTU0:09:COM"	"ts-b911-nw07"	2002	"RSY on South side of fence near B913"
"BSOBTH02"	"BSOC:LTU0:2:COM"	"ts-b911-nw07"	2003
"BSOBTH10n"	"BSOC:LTU0:10n:COM"	"ts-b911-nw07"	2004	"RSY on North side of fence between B911 and B912"
"BSOBTH03"	"BSOC:LTU0:3:COM"	"ts-b911-nw07"	2005
"BSOBTH04"	"BSOC:LTU0:04:COM"	"ts-b911-nw07"	2006
"BSOBTH06"	"BSOC:LTU0:06:COM"	"ts-b913-nw02"	2011
"BSOBTH07"	"BSOC:LTU0:07:COM"	"ts-b913-nw02"	2012	"RSY on North side of BTHE maze"
"BSOBTH11"	"BSOC:LTU0:11:COM"	"ts-b913-nw02"	2013	"RSY on South side of fence near B211"
"BSOUND02n"	"BSOC:UND0:02n:COM"	"ts-b921-nw04"	2004	"B921 North side near penetration "
"BSOUND01"	"BSOC:UND0:01:COM"	"ts-b921-nw13"	2001	"B921 South side near penetration "
"RDMLNW01"	"RADM:LI02:1"	"TS-LI02-NW02"	2001	"P02-05"
"RDMLNW02"	"RADM:LI07:2"	"ts-li07-nw02"	2002	"P07-11"
"RDMLNE01"	"RADM:LI29:01"	"ts-li29-nw06"	2009	"P28-11, LI29, in area of SXR/HXR kickers/septa"
"RDMBSY01"	"RADM:BSYH:843"	"ts-bsy0-pp01"	"2001"	Near D2 stopper (Z=3193):2001
"RDMBSY02"	"RADM:BSY:02"	"ts-????-????"	"20nn"	Near BSYDUMP
"RDMBSY03"	"RADM:CLTS:585"	"ts-bsy0-pp02"	"2001"	Near STP-CLTS
"RDMHX201"	"RADM:B969:01"	"ts-b969-nw01"	"2001"	Inside HX-2 housing
"RDMBTH01"	"RADM:BTH/UND:01"	"ts-bsy0-pp01"	"2001"	 TDUNDB\TDUND (Z=3561)
"RDMEBD01"	"RADM:DMP0:01"	"ts-neh1-pp01"	"2009"	BYD magnets (Z=3737)
"RDMEBD02"	"RADM:DMP0:02"	"shared with RDMEBD01"	""	ENDDMPS\ENDDMPH (Z=3765)
